0000UNIQUECOUNT     	12593
DAI78603            	64	0.017%
DAI98720            	64	0.017%
DAI87185            	64	0.017%
ELE99434            	64	0.017%
FRO46604            	64	0.017%
FRO35957            	64	0.017%
FRO68578            	64	0.017%
GRO60032            	64	0.017%
GRO56094            	64	0.017%
GRO78024            	64	0.017%
GRO75721            	64	0.017%
SNA39023            	64	0.017%
DAI98536            	63	0.017%
DAI33453            	63	0.017%
DAI44398            	63	0.017%
ELE69898            	63	0.017%
FRO90334            	63	0.017%
GRO24416            	63	0.017%
GRO39369            	63	0.017%
SNA61957            	63	0.017%
DAI39871            	62	0.016%
DAI88573            	62	0.016%
DAI21607            	62	0.016%
DAI54949            	62	0.016%
FRO30970            	62	0.016%
FRO51283            	62	0.016%
FRO84808            	62	0.016%
FRO84705            	62	0.016%
SNA27939            	62	0.016%
SNA30924            	62	0.016%
SNA51685            	62	0.016%
DAI19117            	61	0.016%
DAI47544            	61	0.016%
ELE52772            	61	0.016%
ELE86441            	61	0.016%
ELE77989            	61	0.016%
GRO14468            	61	0.016%
GRO39668            	61	0.016%
SNA45294            	61	0.016%
SNA54081            	61	0.016%
SNA16934            	61	0.016%
DAI46468            	60	0.016%
DAI24766            	60	0.016%
ELE77846            	60	0.016%
ELE25652            	60	0.016%
ELE32734            	60	0.016%
ELE50450            	60	0.016%
FRO48601            	60	0.016%
GRO94640            	60	0.016%
GRO53128            	60	0.016%
GRO82235            	60	0.016%
SNA41766            	60	0.016%
SNA42317            	60	0.016%
SNA11666            	60	0.016%
SNA50326            	60	0.016%
SNA22466            	60	0.016%
DAI78781            	59	0.015%
ELE84971            	59	0.015%
ELE91260            	59	0.015%
ELE28573            	59	0.015%
ELE65041            	59	0.015%
ELE76964            	59	0.015%
FRO91856            	59	0.015%
FRO82765            	59	0.015%
FRO57752            	59	0.015%
FRO76811            	59	0.015%
GRO47353            	59	0.015%
GRO30063            	59	0.015%
SNA56556            	59	0.015%
SNA23364            	59	0.015%
SNA19548            	59	0.015%
DAI53757            	58	0.015%
DAI19090            	58	0.015%
FRO41430            	58	0.015%
FRO32209            	58	0.015%
GRO80094            	58	0.015%
GRO52452            	58	0.015%
